"","TRAP","createdBy","Date","Type","AllNotes","Source","DescriptionOfMoundOrLocale","LU_Around","LU_Top","Latitude","Longitude","Northing","Easting","Accuracy","FacingDirectionForPhoto","HeightMax","DiameterMax","HeightMin","DiameterMin","OtherDimension","AssociatedFeatureOrMaterial","SurfaceMaterialDescription","SampleCollected","ChronologyEstimate","AssociatedFeatureOrMaterialPhoto","Condition","DamageNotes","PrincipalSourceOfImpact","OtherSourcesOfImpact","ArchaeologicalPotential","MostRecentDamageWhat","MostRecentDamageWithin","RTDescription","CommentsAndRecommendations","CRMPhotos","geospatialcolumn"
"22",8302,"Adela Sobotkova",NA,"Burial Mound","the scrub comprises an old vineyard gone wild,inaccessible mound in dense wild vines, documented remotely Photo no. 44-45","Legacy verification","inside a dense wild vine field, recorded remotely due to poor access","Scrub","Scrub",42.39705737,26.12892326,4694230.044,428309.4487,3,"West",1.5,"15",NA,NA,NA,NA,"no visibility","No",NA,NA,"0 - No observation","","Other",NA,"Other","Not available","Unknown",NA,NA,NA,"POINT(428309.448665 4694230.044063)"
"23",8105,"Bara Weissova",NA,"Uncertain Mound","hard to picture, impossible to go further and still see the mound","Legacy verification",NA,"Forest","Forest",42.40992288,26.14072092,4695648.715,429294.8643,3,"North",3,"15",0.5,10,NA,NA,NA,"No",NA,NA,"1 - pristine","","No observation",NA,"1 - full","Not available","Not relevant",NA,NA,NA,"POINT(429294.864313 4695648.715018)"
"24",9514,"Vera Dolezalkova",NA,"Uncertain Mound","","Survey",NA,"Scrub","Scrub",42.39738531,26.1432916,4694254.434,429492.3539,3,"Northwest",1.5,"11",1.3,8,NA,NA,"none","No",NA,NA,"4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Unknown","Robbers trench cut from east side to centre of mound
east/west 3m
north/south 2.5m
depth 1.2m
8 stones placed on the bottom of trench see drawing","point offset by 50m to north)","files/app/0cce51d4-7c17-4a3c-adbb-6725ed55cb63_image-1505031808317.original.jpg - files/app/491893be-9f85-4ba9-b78e-2a58f43db1ad_image-1505032258328.original.jpg - files/app/622acd7c-42cf-4507-b36e-803aabc8b176_image-1505032478790.original.jpg - files/app/976e491c-4181-470c-9bb0-f8553ff9212c_image-1505031770802.original.jpg","POINT(429492.353923 4694254.433648)"
"25",8303,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard (walnut trees,grassland (scrubby,47-48","Legacy verification","mound in a fenced feild","Perennial agriculture","Pasture",42.39523427,26.11879323,4694036.207,427473.631,3,"South",2.7,"22",NA,NA,NA,NA,"n\a","No",NA,NA,"1 - pristine","","Agriculture",NA,"1 - full","Agriculture","Last year",NA,NA,NA,"POINT(427473.630951 4694036.20688)"
"26",9515,"Vera Dolezalkova",NA,"Burial Mound","Photo #1","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.4007734,26.22150291,4694568.702,435932.6798,3,"North",1.6,"40",1.4,42,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(435932.679835 4694568.701546)"
"27",8304,"Adela Sobotkova",NA,"Burial Mound","slr#49","Legacy verification","mound in ploughed field,dry limestone extrusion on SE side, ploughed up and lighter colour than the surrounding","Annual agriculture","Annual agriculture",42.40607583,26.24816852,4695137.707,438132.3789,3,"Southeast",1.4,"13",NA,12,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,"ploughed up sprawling mound",NA,"POINT(438132.378925 4695137.707434)"
"28",8106,"Bara Weissova",NA,"Burial Mound","e.g orchard or vineyard,camera photo","Legacy verification",NA,"Annual agriculture","Perennial agriculture",42.40970772,26.24783206,4695541.229,438108.2628,3,"North",1.5,"55",NA,50,"p",NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last year",NA,NA,NA,"POINT(438108.262782 4695541.229061)"
"29",8305,"Adela Sobotkova",NA,"Burial Mound","slr#050","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.40297633,26.24696348,4694794.425,438030.1664,3,"Southwest",0.7,"22",NA,16,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last month",NA,NA,NA,"POINT(438030.166351 4694794.424591)"
"30",9516,"Vera Dolezalkova",NA,"Uncertain Mound","bigger limestone holders 15cm max spread around in scrub
photos #2-5,uncertain height","Legacy verification","very flat and hidden in a scrub, limestones spread within the scrub","Annual agriculture","Scrub",42.40493326,26.2302587,4695024.037,436657.437,3,"East",1,"14",NA,8,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Unknown",NA,"pile of limestone stones in the corner of the field, gathered from the field, possibly from the plowed up mound, placed about 25 m West",NA,"POINT(436657.437045 4695024.03736)"
"31",8306,"Adela Sobotkova",NA,"Burial Mound","slr#51-52,short dimension refers to scrubby area only, mound extends into the ploughed field","Legacy verification","lozenge shaped near extinct mound","Annual agriculture","Scrub",42.40246734,26.24735842,4694737.62,438062.1668,3,"Northwest",1,"22",NA,7,NA,"Other","field stones of small size piled on top, some
e concrete markers and other modern refuse","No",NA,NA,"4 - seriously damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(438062.166823 4694737.619986)"
"32",8107,"Bara Weissova",NA,"Burial Mound","","Legacy verification",NA,"Annual agriculture","Scrub",42.3880455,26.189618,4693179.962,433295.1802,3,"West",0.3,"20",NA,11,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting","agriculture","5 - none or nearly none","Looting","Unknown",NA,NA,"files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg","POINT(433295.180156 4693179.961652)"
"33",9517,"Vera Dolezalkova",NA,"Burial Mound","grassland,photos #8-10","Legacy verification",NA,"Annual agriculture","Pasture",42.40478628,26.22903625,4695008.629,436556.692,3,"West",1,"25",NA,20,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Agriculture","looting","4 - minimal","Looting","Unknown","[01,rectangular,7,2.4,1.6,see the drawing]",NA,"files/app/0a7933c3-14f3-4b5b-8795-650821fdb944_image-1505106560756.original.jpg - files/app/d522aa36-ed28-428e-989b-e6586d643cc3_image-1505106536208.original.jpg - files/app/e333f1c9-c016-46cd-92cb-02d773dbd560_image-1505106788260.original.jpg","POINT(436556.69197 4695008.62912)"
"34",8108,"Bara Weissova",NA,"Extinct Burial Mound","local viewpoint to the valley","Legacy verification",NA,"Scrub","Scrub",42.38970276,26.18663453,4693366.326,433051.3626,3,"Northwest",0,"0",0,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Looting",NA,"5 - none or nearly none","Looting","Unknown",NA,NA,NA,"POINT(433051.362551 4693366.325957)"
"35",9518,"Vera Dolezalkova",NA,"Burial Mound","","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.4084193,26.230018,4695411.298,436641.1374,3,"Northeast",0.9,"35",0.7,30,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(436641.137432 4695411.297874)"
"36",8109,"Bara Weissova",NA,"Extinct Burial Mound","","Survey",NA,"Annual agriculture","Scrub",42.38807485,26.18645587,4693185.708,433034.9264,3,"West",0.2,"20",0,12,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Looting","agriculture; plenty of stones within looking like someone excavated and left them there","5 - none or nearly none","Looting","Unknown",NA,NA,NA,"POINT(433034.926359 4693185.707691)"
"37",8307,"Adela Sobotkova",NA,"Extinct Burial Mound","explain in notes (freshly bulldozer field with ripped vineyard and brush,explain in notes (see LU note above,slr#54","Legacy verification","bulldozed destroyed mound? soilmark of light brown soil and limestonea scatter","Other","Other",42.39077351,26.24532337,4693440.652,437883.1614,3,"Northeast",0.5,"35",NA,30,NA,"Other","field stones ploughed up","No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last week",NA,NA,NA,"POINT(437883.161412 4693440.652453)"
"38",8308,"Adela Sobotkova",NA,"Uncertain Mound","explain in notes,explain in notes,58-57","Survey","extinct mound?","Other","Other",42.38964751,26.24537336,4693315.587,437886.1659,3,"North",0.5,"15",NA,12,NA,"Other","white boulders scattered around","No",NA,"files/app/7c1e76d6-45df-45c4-8d8f-7bfae364b28f_image-1505108700304.original.jpg - files/app/d6c235de-f276-49f4-88bd-1eee840a3912_image-1505108767205.original.jpg","5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last week",NA,NA,NA,"POINT(437886.165909 4693315.587227)"
"39",9519,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo #13-21
limestone scatter on top of mound pulled out by robbers","Legacy verification",NA,"Annual agriculture","Pasture",42.40888436,26.21493816,4695474.294,435400.7453,3,"West",1.8,"28",1.6,25,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Last year","[01,circular,3.5,3,1.6,limestone,see the drawing]",NA,"files/app/45e8020a-2a48-40e6-a9d4-c82c9b5e23ce_image-1505109069089.original.jpg - files/app/c33a2099-30f9-4f1f-9997-825511fab578_image-1505109031224.original.jpg - files/app/ce978fdc-6f9f-4338-ab99-bf86a6250a22_image-1505109565411.original.jpg","POINT(435400.745273 4695474.294473)"
"40",8309,"Adela Sobotkova",NA,"Burial Mound","slr#59-60","Legacy verification","small lozenge in a field with trees and pile of stones","Annual agriculture","Scrub",42.3918815,26.24171041,4693566.327,437586.8775,3,"Northwest",1,"18",NA,10,NA,"Other","field stone scatter in the RT","No",NA,NA,"5 - extinct or near extinct","","Looting","agriculture","5 - none or nearly none","Agriculture","Last month","[01,roundish,6,3,0.8, large trench overgrown with scrub]","mound was looted in the past and recently burnt","files/app/6fe4256d-4774-4815-afcb-9958cd2f957c_image-1505109600772.original.jpg","POINT(437586.877467 4693566.327236)"
"41",8110,"Bara Weissova",NA,"Burial Mound","","Survey",NA,"Annual agriculture","Annual agriculture",42.39869179,26.18602103,4694364.93,433010.4254,3,"North",1.8,"35",NA,40,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(433010.425364 4694364.929879)"
"42",8310,"Adela Sobotkova",NA,"Uncertain Mound","#62-65","Survey","bluff with manmade embankment and stone walls and features","Annual agriculture","Scrub",42.39356388,26.24149945,4693753.29,437571.1809,3,"North",1,"25",NA,25,NA,"Other",NA,"No",NA,NA,"4 - seriously damaged","specify in Annotation) (embankment)","Excavation","burning","5 - none or nearly none","Other","Unknown","[01,round,6,5,1.5, dug in with stone wall to E;02,ditch,12,2,1.5,some fieldstones around]",NA,"files/app/ca44bd7a-792e-43fc-ba89-c31ea9ee056f_image-1505112714338.original.jpg - files/app/fd6e656c-699a-4a0e-952b-8b2e3e610e2e_image-1505110528573.original.jpg","POINT(437571.180948 4693753.289884)"
"43",9520,"Vera Dolezalkova",NA,"Burial Mound","grassland,grassland,photo #24-28","Legacy verification",NA,"Pasture","Pasture",42.41040418,26.2112497,4695645.864,435098.8035,3,"Northwest",0.5,"15",NA,12,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Unknown","[01,circular,4.5,4.5,0.5,white quartz stones piled on the west rt cut]",NA,"files/app/210781b9-74ed-4598-b430-fa70f45e5c9b_image-1505110638882.original.jpg - files/app/255854e6-16a4-446f-a048-9e6e444f5b0b_image-1505110862732.original.jpg - files/app/4c802e25-46a0-45af-a2f4-bb0428e6506d_image-1505110570476.original.jpg","POINT(435098.803502 4695645.863672)"
"44",8111,"Bara Weissova",NA,"Burial Mound","grassland,grassland","Legacy verification","Staneva mogila","Pasture","Pasture",42.40267242,26.18076711,4694811.085,432582.2927,3,"Northwest",2.3,"25",NA,22,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Animal activity","excavation","1 - full","Animal activity","Last year","01, rectangle, very old and shallow and open in the sw of mound",NA,"files/app/7f8c96af-4424-44c7-bc46-67373ea7d923_image-1505111047069.original.jpg","POINT(432582.292662 4694811.085396)"
"45",8311,"Adela Sobotkova",NA,"Uncertain Mound","half bare half scrub,66","Survey",NA,"Annual agriculture","Scrub",42.39214205,26.24058881,4693596.083,437494.8197,3,"West",0.3,"20",NA,19,NA,"Other","one modern  pile of fieldstones, 3 by 1 m ,1 m tall","No",NA,NA,"5 - extinct or near extinct","","Other","trampling?","5 - none or nearly none","Agriculture","Last month",NA,"burning",NA,"POINT(437494.819655 4693596.082714)"
"46",9521,"Vera Dolezalkova",NA,"Burial Mound","grassland,grassland,compared to other RT from other mound very eroded with lots of scrub
photo #29-34","Legacy verification",NA,"Pasture","Pasture",42.41069685,26.2110756,4695678.494,435084.7798,3,"North",1.4,"18",1.2,16,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Unknown","[01,round,9,10,1.6,very old,eroded rt with grass and scrub in it]
empty trench without any material",NA,"files/app/015e87bf-83db-4d68-a6e4-3b36a5967dd3_image-1505111635368.original.jpg - files/app/9341fb76-3e79-4cc4-8207-09012a5b3704_image-1505111680232.original.jpg","POINT(435084.779831 4695678.494282)"
"47",8312,"Adela Sobotkova",NA,"Uncertain Mound","#67","Survey","lozenge shaped scrubby feature","Annual agriculture","Scrub",42.39158994,26.24082293,4693534.606,437513.5419,3,"Northwest",0.4,"10",NA,8,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last year",NA,NA,NA,"POINT(437513.541942 4693534.60572)"
"48",8313,"Adela Sobotkova",NA,"Uncertain Mound","#68-69","Survey","low scrubby mound not in a map","Annual agriculture","Scrub",42.39152978,26.23966217,4693528.78,437417.9416,3,"West",1.2,"16",0.8,13,NA,"Other","stones","No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"4 - minimal","Agriculture","Last year","[01,round,5,1.8,large stones inside;02,round,7,1, shallow pan with modern fieldstones]",NA,"files/app/0ee64353-8329-4c00-98d1-e990da92b301_image-1505112406816.original.jpg - files/app/2bd13e33-9a68-40dc-a59a-a9ac7a1e30af_image-1505112675353.original.jpg - files/app/b52d3ef2-6b75-4555-987d-edb3e10c3cbf_image-1505112387247.original.jpg","POINT(437417.941564 4693528.779987)"
"49",8112,"Bara Weissova",NA,"Burial Mound","grassland,grassland","Legacy verification",NA,"Pasture","Pasture",42.40382819,26.1736336,4694945.105,431996.4942,3,"West",1.5,"25",NA,25,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Looting",NA,"2 - good","Looting","Unknown","01,square,2.5,2,0.5m, manually excavated; 02, irregular,10,4,1,manually excavated",NA,"files/app/7c7bf76e-7c89-49ef-bb6e-925c7a4d2016_image-1505112322676.original.jpg - files/app/a81f8f88-cb96-43d1-a318-9cd6d721527a_image-1505112601600.original.jpg","POINT(431996.494205 4694945.104665)"
"50",8314,"Adela Sobotkova",NA,"Uncertain Mound","#73-74","Survey",NA,"Annual agriculture","Scrub",42.38998881,26.24176533,4693356.128,437589.5226,3,"South",0.5,"22",NA,15,NA,NA,"piles of loose fieldstones in the scrub","No",NA,"files/app/f138a0a1-9718-48e8-b0ec-7a77e77ced0c_image-1505113163013.original.jpg","5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last year",NA,NA,NA,"POINT(437589.522608 4693356.128156)"
