"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"248",9189,"Survey","Burial Mound","Annual agriculture","Annual agriculture",NA,"30",30,"1.5","5","Agriculture"
"249",9190,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"35",25,"1.5","5","Looting"
"250",9191,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"2","5","Agriculture"
"251",9192,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"1","5","Agriculture"
"252",9193,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"45",45,"2.5","1","Construction"
"253",9194,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"2","1","Agriculture"
"254",9195,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"1.5","2","Agriculture"
"255",9196,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"35",35,"4","5","Looting"
"256",9197,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"25",25,"0.8","5","Agriculture"
"257",9198,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"20",20,"1","3","Looting"
"258",9199,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"1.5","5","Agriculture"
"259",9200,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-04,"40",40,"4","2","Looting"
"260",9201,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-04,"40",40,"5","2","Looting"
"261",9202,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"50",50,"4.5","2","Looting"
"262",9203,"Legacy verification","Burial Mound","Pasture","Perennial agriculture",2010-11-04,"50",50,"6","5","Looting"
"263",9204,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"25",25,"2","5","Construction"
"264",9205,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"35",35,"1.7","5","Agriculture"
"265",9206,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-04,"40",40,"7","1","Looting"
"266",9207,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"30",30,"3","3","None"
"267",9208,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"20",20,"1.5","5","Agriculture"
"268",9209,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-04,"30",30,"1.5","5","Agriculture"
"269",9210,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"20",20,"1.5","5","Agriculture"
"270",9211,"Survey","Burial Mound","Annual agriculture","Scrub",2010-11-04,"30",30,"2.5","1","Agriculture"
"271",9212,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"40",40,"2","3","Construction"
"272",9213,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-11-04,"35",35,"4","1","Agriculture"
"273",9214,NA,"Extinct Burial Mound",NA,NA,2010-11-04,"40",40,"5","5",NA
"274",9215,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"25",25,"1","5","Agriculture"
"275",9216,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-04,"49",40,"5","2","Looting"
"276",9217,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"25",25,"1.8","5","Agriculture"
"277",9218,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"50",50,"8","3","Looting"
"278",9219,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"25",25,"3","3","Looting"
"279",9220,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"30",30,"3","1","Construction"
"280",9222,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"20",20,"2","3","Looting"
"281",9223,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"15",15,"1.5","4","Looting"
"282",9224,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"20",20,"1.5","3","None"
"283",9225,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"15",15,"1","2","None"
"284",9226,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"20",20,"1.5","3","Looting"
"285",9227,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"35",35,"4","5","Looting"
"286",9228,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-05,"20",20,"2","5","Agriculture"
"287",9229,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-06,"50",50,"1","3","Looting"
"288",9230,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-05,"25",30,"2","4","Looting"
"289",9231,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-05,"15",15,"0.5","5","Looting"
"290",9232,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-05,"20",15,"1.5","4","Looting"
"291",9233,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-05,"25",25,"1.5","5","Looting"
"292",9234,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-05,"15",20,"0.5","5","Agriculture"
"293",9235,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-05,"35",40,"3.5","5","Looting"
"294",9236,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"30",30,"2","5","Looting"
"295",9237,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"15",15,"1.5","4","Looting"
"296",9238,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"25",25,"2","4","Looting"
"297",9239,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"20",20,"1.5","4","Looting"
"298",9240,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"35",35,"3","4","Looting"
"299",9241,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"15",15,"0.5","4","Looting"
"300",9242,"Survey","Uncertain Mound","Pasture","Pasture/Scrub",2010-11-05,"10",10,"0.5","2","unspecified"
"301",9243,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"25",25,"2","5","Looting"
"302",9244,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"20",15,"0.5","5","Looting"
"303",9245,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"30",30,"3","4","Construction"
"304",9246,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"20",20,"2","4","Looting"
"305",9247,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-05,"35",35,"4","2","Looting"
"306",9248,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-06,"20",30,"2.5","2","Construction"
"307",9249,"Survey","Burial Mound","Annual agriculture","Pasture",2010-11-06,"15",15,"2","3","Looting"
"308",9250,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-06,"30",30,"3","2","Looting"
"309",9251,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-06,"30",30,"2","4","Looting"
"310",9252,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-06,"30",30,"3","4","Looting"
"311",9253,"Survey","Burial Mound","Forest","Scrub",2010-11-06,"25",25,"3","5","Looting"
"312",9254,"Survey","Burial Mound","Forest","Pasture/Scrub",2010-11-06,"20",20,"0.5","5","Looting"
"313",9255,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-06,"25",25,"1.7","5","Agriculture"
"314",9256,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-06,"35",35,"1","5","Agriculture"
"315",9257,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-11-07,"30",30,"2.5","3","Looting"
"316",9258,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"20",20,"2.5","5","Agriculture"
"317",9259,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"30",30,"2","5","Construction (military activity)"
"318",9261,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"35",40,"3","4","Looting"
"319",9262,"Survey","Burial Mound","Annual agriculture","Annual agriculture",NA,"30",30,"1.5","5","Agriculture"
"320",9263,"Survey","Burial Mound","Annual agriculture","Pasture",NA,"30",30,"3","2","Looting"
"321",9264,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"30",30,"2.5","3","Looting"
"322",9265,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"30",30,"2.5","2","Looting"
"323",9266,"Survey","Burial Mound","Pasture","Pasture",NA,"30",30,"2","2","Looting"
"324",9267,"Survey","Uncertain Mound","Pasture","Pasture",NA,"20",20,"1","5","Looting"
"325",9268,"Survey","Uncertain Mound","Annual agriculture","Pasture",NA,"35",35,"1","5","Agriculture"
"326",9269,"Survey","Uncertain Mound","Annual agriculture","Pasture",NA,"40",40,"1","5","Agriculture"
"327",9270,"Survey","Burial Mound","Pasture","Pasture",NA,"20",20,"1.5","2","Agriculture"
"328",9271,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"20",20,"1","5","Agriculture"
"329",9272,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"40",25,"2.5","4","Looting"
"330",9273,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",NA,"25",25,"2.5","3","Looting"
"331",9274,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"45",45,"5","1","None"
"332",9275,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"20",20,"0.5","5","Agriculture"
"333",9276,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"25",25,"0.7","5","Agriculture"
"334",9277,"Survey","Burial Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1.2","5","Agriculture"
"335",9278,"Survey","Uncertain Mound","Pasture","Pasture",NA,"30",30,"1","5","Agriculture"
"336",9279,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"2","5","Agriculture"
"337",9280,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"30",30,"5","2","None"
"338",9281,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"40",40,"4","2","Looting"
"339",9282,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"15",14,"0.5","5","Agriculture"
"340",9283,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"2","5","Agriculture"
"341",9284,"Survey","Burial Mound","Annual agriculture","Annual agriculture",NA,"30",30,"1.5","5","Agriculture"
"342",9285,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"30",35,"2","5","Agriculture"
"343",9286,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"40",30,"7","2","Looting"
"344",9287,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"30",30,"2.5","2","Looting"
"345",9288,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1","5","Agriculture"
"346",9289,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"20",20,"0.5","5","Agriculture"
"347",9290,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"20",20,"0.8","5","Agriculture"
"348",9291,"Legacy verification","Burial Mound","Pasture","Scrub",NA,"35",35,"2.5","3","Looting"
"349",9292,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"20",15,"0.5","5","Agriculture"
"350",9293,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"30",30,"1","5","Agriculture"
"351",9300,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-05,"40",40,"0.4","5","Agriculture"
"352",9301,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-05,"25",25,"0.5","5","Agriculture"
"353",9302,NA,"Burial Mound",NA,NA,2010-11-06,"20",10,"0.5","5",NA
"354",9303,NA,"Extinct Burial Mound",NA,NA,2010-11-06,"30",20,"1","4",NA
"355",9304,NA,"Extinct Burial Mound",NA,NA,2010-11-06,"35",25,"1.5","2",NA
"356",9305,NA,"Burial Mound",NA,NA,2010-11-06,"25",25,"1.8","3",NA
"357",9306,NA,"Burial Mound",NA,NA,2010-11-06,"30",30,"2.5","3",NA
"358",9307,NA,"Burial Mound",NA,NA,2010-11-06,"30",30,"3.1","1",NA
"359",9308,NA,"Burial Mound",NA,NA,2010-11-06,"45",45,"4.5","1",NA
"360",9309,NA,"Burial Mound",NA,NA,2010-11-06,"50",50,"5","2",NA
"361",9310,NA,"Burial Mound",NA,NA,2010-11-06,"60",60,"5","3",NA
"362",9311,NA,"Burial Mound",NA,NA,2010-11-06,"30",30,"3","4",NA
"363",9312,NA,"Burial Mound",NA,NA,2010-11-06,"40",35,"4","3",NA
"364",9313,NA,"Extinct Burial Mound",NA,NA,2010-11-06,"30",30,"0.5","5",NA
"365",9314,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-07,"30",30,"2","5","Looting"
"366",9315,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"20",20,"1","2","Looting"
"367",9316,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"30",30,"2","2","Looting"
"368",9317,"Survey","Burial Mound","Pasture","Pasture",NA,"20",20,"1.5","1","Construction"
"369",9318,"Survey","Uncertain Mound","Pasture","Pasture",NA,"25",25,"0.5","5","Construction (military activity)"
"370",9319,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"15",15,"1","3","Agriculture"
"371",9320,"Legacy verification","Extinct Burial Mound","Annual agriculture","Pasture",NA,"30",15,"0.5","4","Construction"
"372",9321,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"40",40,"4","3","Looting"
"373",9322,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"40",40,"4","1","Looting"
"374",9323,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"0.4","5","Agriculture"
"375",9324,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"1.8","3","Agriculture"
"376",9325,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",NA,"10",10,"0.5","5","Looting"
"377",9326,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"25",25,"3","1","Looting"
"378",9332,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-11,"40",40,"4","5","Looting"
"379",9334,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-11,"40",20,"1.9","4","Agriculture"
"380",9335,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-11,"20",25,"1","5","Agriculture"
"381",9336,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-11,"30",40,"0.8","5","Agriculture"
"382",9337,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-11,"40",30,"0.5","5","Agriculture"
"383",9340,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-11,"20",20,"1","5","Bioturbation (forest)"
"384",9341,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-11,"40",40,"4","4","Looting"
"385",9342,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"40",30,"1.7","4","Agriculture"
"386",9343,"Survey","Burial Mound","Pasture","Pasture",2010-11-12,"30",30,"1.5","4","Agriculture"
"387",9344,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"30",30,"1.5","2","Looting"
"388",9345,"Survey","Burial Mound","Pasture","Pasture",2010-11-12,"10",10,"1.5","4","Looting"
"389",9346,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-12,"40",50,"2","3","Agriculture"
"390",9347,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"40",40,"2.5","1","None"
"391",9348,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"30",30,"1.7","1","None"
"392",9349,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"40",40,"2.5","2","Looting"
"393",9350,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-12,"35",35,"4.5","4","Looting"
"394",9351,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-12,"40",50,"3","2","Looting"
"395",9352,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-12,"30",35,"1.5","5","Agriculture"
"396",9353,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-12,"15",15,"0","5","Agriculture"
"397",9354,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-12,"20",10,"0","5","Agriculture"
"398",9355,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-12,"30",25,"1","4","Agriculture"
"399",9356,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-12,"20",30,"0.5","4","Agriculture"
"400",9357,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-17,"40",40,"1","5","Excavation"
"401",9358,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-17,"35",35,"2","4","Looting"
"402",9359,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-17,"30",30,"2","2","Looting"
"403",9360,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-17,"70",70,"14","4","Excavation"
"404",9362,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"40",40,"2.5","5","Excavation"
"405",9361,"Survey","Burial Mound","Pasture","Pasture",2010-11-17,"35",25,"2","4","Looting"
"406",9363,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"25",25,"1.5","1","None"
"407",9364,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"35",35,"2","1","None"
"408",9365,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-18,"30",30,"2.5","5","Looting"
"409",9366,"Survey","Burial Mound","Pasture","Pasture",2010-11-18,"25",25,"1","1","None"
"410",9367,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"35",35,"1","2","Agriculture"
"411",9368,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-18,"25",20,"0.5","2","Agriculture"
"412",9369,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"35",35,"1","3","Agriculture"
"413",9370,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"35",40,"1.6","2","Agriculture"
"414",9371,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-18,"40",30,"2","1","None"
"415",9372,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-11-18,"30",30,"0.5","5","unspecified"
"416",9373,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"30",30,"1","4","Agriculture"
"417",9374,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"35",35,"3","3","Looting"
"418",9375,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-18,"30",30,"2","5","Looting"
"419",9376,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-18,"20",20,"0.5","5","Agriculture"
"420",9377,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"40",40,"0.5","2","Agriculture"
"421",9378,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-18,"30",30,"0.5","1","None"
"422",9379,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"35",25,"1.5","1","Agriculture"
"423",9380,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"30",30,"4","1","Looting"
"424",9381,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-18,"45",45,"5","1","Bioturbation"
"425",9382,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"50",50,"6","1","Looting"
"426",9383,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"30",30,"1.5","2","Agriculture"
"427",9385,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"40",40,"2","1","Looting"
"428",9386,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"20",25,"1","2","Agriculture"
"429",9387,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"25",20,"1.7","1","Looting"
"430",9388,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"40",40,"0.5","5","Agriculture"
"431",9452,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-18,"25",25,"1.7","1","None"
"432",9389,NA,"Burial Mound",NA,NA,2010-11-18,"15",15,"1.5","5",NA
"433",9390,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-18,"35",35,"1","5","Agriculture"
"434",9391,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-18,"20",15,"0.5","5","Agriculture"
"435",9392,"Survey","Burial Mound","Pasture","Pasture",2010-11-18,"15",15,"1","1","Agriculture"
"436",9400,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-06,"25",25,"1.5","5","Agriculture"
"437",9401,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"30",30,"1","5","Agriculture"
"438",9402,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"35",35,"1.5","5","Agriculture"
"439",9403,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"20",25,"1.7","5","Agriculture"
"440",9404,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-07,"20",20,"1.5","4","Looting"
"441",9405,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"25",25,"1","5","Agriculture"
"442",9406,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"50",30,"1.5","5","Agriculture"
"443",9407,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-07,"35",20,"2","5","Construction"
"444",9409,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-11-07,"30",30,"2","2","Agriculture"
"445",9410,"Survey","Burial Mound","Pasture","Pasture",2010-11-07,"10",25,"3.5","5","Looting"
"446",9411,"Survey","Burial Mound","Nodata","Nodata",2010-11-07,"15",15,"1.5","2","Nodata"
"447",9412,"Survey","Burial Mound","Nodata","Nodata",2010-11-07,"25",25,"3.5","2","Nodata"
"448",9413,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-07,"20",20,"3","1","None"
"449",9414,"Survey","Burial Mound","Pasture","Pasture",2010-11-07,"15",15,"1","1","None"
"450",9415,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"25",25,"1","5","Agriculture"
"451",9416,"Legacy verification","Burial Mound","Annual agriculture","Annual/Pasture",2010-11-07,"20",20,"2","3","Agriculture"
"452",9417,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-07,"15",15,"2","4","Looting"
"453",9418,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-07,"50",50,"6","2","Looting"
"454",9419,"Legacy verification","Burial Mound","Nodata","Nodata",2010-11-07,"25",25,"4.5","2","Nodata"
"455",9420,"Legacy verification","Burial Mound","Nodata","Nodata",2010-11-07,"30",30,"3.5","1","Nodata"
"456",9421,"Survey","Burial Mound","Pasture","Pasture",2010-11-07,"15",15,"1","1","None"
"457",9422,"Survey","Uncertain Mound","Pasture","Pasture",2010-11-07,"15",15,"1","1","Looting"
"458",9423,"Legacy verification","Burial Mound","Nodata","Nodata",2010-11-07,"60",60,"12","1","Nodata"
"459",9424,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"10",10,"2 acc to topomap","5","Nodata"
"460",9425,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"20",20,"0.5","5","Agriculture"
"461",9426,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-07,"40",40,"0.7","5","Agriculture"
"462",9427,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-08,"23",23,"3 acc to topomap","6","Agriculture"
"463",9428,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-08,NA,NA,NA,"6","Agriculture"
"464",9430,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-10,"10",10,"2?3? acc to atlas","5","Looting"
"465",9431,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-10,"20",20,"2","5","Looting"
"466",9432,NA,"Burial Mound",NA,NA,2010-11-10,"30",30,"2.5","1",NA
"467",9433,NA,"Burial Mound",NA,NA,2010-11-10,"30",30,"3.5","2",NA
"468",9434,NA,"Burial Mound",NA,NA,2010-11-10,"25",20,"1.5","5",NA
"469",9435,NA,"Extinct Burial Mound",NA,NA,2010-11-10,"40",40,"1","5",NA
"470",9436,NA,"Burial Mound",NA,NA,2010-11-10,"40",40,"4","3",NA
"471",9437,NA,"Burial Mound",NA,NA,2010-11-10,"40",40,"1.7","2",NA
"472",9438,NA,"Extinct Burial Mound",NA,NA,2010-11-10,"10",10,"0.1","5",NA
"473",9440,NA,"Burial Mound",NA,NA,2010-11-12,"50",50,"5","1",NA
"474",9442,"Legacy verification","Burial Mound","Forest","Scrub",NA,"40",40,"1.5","2","Looting"
"475",9443,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-17,"25",25,"2","3","Looting"
"476",9444,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-17,"40",40,"2","2","Looting"
"477",9445,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",NA,"20",20,"1.5","4","Agriculture"
"478",9446,"Legacy verification","Burial Mound","Annual agriculture","Scrub",NA,"40",40,"5","2","Looting"
"479",9447,"Survey","Burial Mound","Annual agriculture","Scrub",2010-11-17,"25",25,"0.5","5","Agriculture"
"480",9448,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",NA,"20",20,"2","4","Looting"
"481",9449,"Survey","Uncertain Mound","Pasture","Pasture/Scrub",NA,"20",20,"2","1","Construction (military activity)"
"482",9450,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",NA,"25",25,"2","3","Looting"
"483",9451,"Survey","Burial Mound","Pasture","Pasture/Scrub",NA,"20",20,"1","5","Looting"
"484",9484,NA,"Burial Mound",NA,NA,2010-11-18,"25",35,"2","3",NA
"485",9338,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-11,"35",25,"1","5","Agriculture"
"486",9339,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-11,"20",20,"1.5","2","Looting"
"487",9500,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2017-09-08,"70",55,"1.6","4 - seriously damaged","Agriculture"
"488",9501,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2017-09-08,"35",25,"0.8","3 - damaged","Agriculture"
"489",9502,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2017-09-08,"45",40,"1.3","3 - damaged","Agriculture"
"490",9503,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2017-09-08,"40",30,"1","3 - damaged","Agriculture"
"491",9504,"Legacy verification","Uncertain Mound","Annual agriculture","Annual agriculture",2017-09-08,"30",25,"1.8","4 - seriously damaged","Agriculture"
"492",9505,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2017-09-08,"40",30,"2","3 - damaged","Agriculture"
"493",9506,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2017-09-08,"40",35,"5","2 - minor damage","Animal activity"
"494",9507,"Legacy verification","Burial Mound","Pasture","Pasture",2017-09-10,"25",30,"3","2 - minor damage","Looting"
"495",9508,"Legacy verification","Burial Mound","Pasture","Pasture",2017-09-10,"17",12,"1.6","4 - seriously damaged","Looting"
"496",9509,"Legacy verification","Burial Mound","Pasture","Pasture",2017-09-10,"17",10,"0.3","5 - extinct or near extinct","Looting"
