"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"43",6016,"survey","Burial Mound","Annual","Annual",2009-11-02,"57",42,"1.5","4","Agriculture"
"44",6017,"survey","Burial Mound","Annual","Annual",2009-11-02,"67",60,"5","4","Agriculture"
"45",6019,"survey","Burial Mound","Annual","Scrub",2009-11-05,"77",77,"10","2","Post-depositional"
"46",6020,"survey","Extinct Burial Mound","Annual","Annual",2009-11-05,"30",30,"0.5","5","Agriculture"
"47",6022,"survey","Burial Mound","Annual","Annual",2009-11-06,"38",38,"2","5","Agriculture"
"48",6023,"survey","Extinct Burial Mound","Annual","Scrub",2009-11-07,"17",6,"0.5","5","Looting | Agriculture"
"49",6024,"survey","Extinct Burial Mound","Annual","Annual",2009-11-07,"20",20,"0.3","5","Agriculture"
"50",6025,"survey","Burial Mound","Annual","Annual",2009-11-07,"40",40,"0.8","5","Agriculture"
"51",7001,"survey","Burial Mound","Annual","Scrub",2009-10-12,"20",15,"1.5","1","Post-depositional"
"52",7002,"survey","Extinct Burial Mound","Annual","Annual",2009-10-12,"10",10,"0.5","5","Agriculture"
"53",7003,"survey","Burial Mound","Scrub","Scrub",2009-10-12,"30",30,"5","2","Post-depositional"
"54",7004,"survey","Burial Mound","Scrub","Scrub",2009-10-20,"40",40,"3.5","1","Post-depositional"
"55",7005,"survey","Burial Mound","Annual","Scrub",2009-10-21,"35",35,"2.5","5","Agriculture | Looting"
"56",7006,"survey","Burial Mound","Annual","Annual",2009-10-22,"20",20,"1","5","Agriculture"
"57",7007,"survey","Burial Mound","Annual","Pasture",2009-10-26,"35",30,"2","5","Agriculture | Looting"
"58",7010,"survey","Burial Mound","Annual","Annual",2009-11-02,"35",30,"1.5","2","Agriculture"
"59",7011,"survey","Burial Mound","Annual","Annual",2009-11-02,"45",45,"1.5","5","Agriculture"
"60",7012,"survey","Burial Mound","Annual","Annual",2009-11-02,"50",50,"2.5","2","Agriculture"
"61",7013,"survey","Burial Mound","Annual","Annual",2009-11-02,"40",40,"1","5","Agriculture"
"62",7014,"survey","Burial Mound","Annual","Annual",2009-11-02,"35",35,"0.7","5","Agriculture"
"63",7015,"survey","Burial Mound","Fallow","Pasture",2009-11-05,"18",18,"1","3","Post-depositional"
"64",7016,"survey","Burial Mound","Fallow","Scrub",2009-11-06,"35",45,"5","2","Looting"
"65",7017,"survey","Burial Mound","Annual","Annual",2009-11-07,"45",45,"1","3?","Agriculture"
"66",7018,"survey","Uncertain Mound","Annual","Scrub",2009-11-09,"12",12,"0.7","5","Agriculture"
"67",7021,"survey","Burial Mound","Annual","Annual",2009-11-13,"25",25,"3","3?","Agriculture"
"68",7022,"survey","Burial Mound","Annual","Annual",2009-11-13,"20",20,"2","3?","Agriculture"
"69",8000,"survey","Burial Mound","Annual","Pasture",2009-10-12,"50",40,"6","2","Looting"
"70",8004,"survey","Burial Mound","Scrub","Pasture",2009-10-12,"46",54,"7","1","Post-depositional"
"71",8006,"survey","Burial Mound","Annual","Pasture",2009-10-13,"37",40,"6","1","Post-depositional"
"72",8007,"survey","Burial Mound","Pasture","Pasture",2009-10-20,"15",20,"4.5","1","Post-depositional | Development"
"73",8008,"survey","Burial Mound","Annual","Annual",2009-10-21,"20",22,"4","5","Agriculture"
"74",8009,"survey","Burial Mound","Annual","Annual",2009-10-21,"16",20,"4","4","Agriculture"
"75",8010,"survey","Burial Mound","Annual","Annual",2009-10-27,"30",30,"3","4","Agriculture"
"76",8013,"survey","Burial Mound","Fallow","Fallow",2009-11-13,"35",35,"0.5","5","Agriculture"
"77",8014,"survey","Burial Mound","Fallow","Fallow",2009-11-13,"35",35,"1","4","Agriculture"
"78",8015,"survey","Burial Mound","Annual","Annual",2009-11-13,"40",40,"1.1","4","Agriculture | Development"
"79",8017,"survey","Burial Mound","Pasture","Scrub",2009-11-14,"30",40,"3","4","Looting"
"80",6030,"survey","Burial Mound","Pasture","Scrub",2010-10-22,"34",34,"4","2","Looting"
"81",8051,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-17,"35",25,"2","3","Looting"
"82",8056,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"40",40,"4.5","2","Looting"
"83",8057,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-17,"35",35,"1.8","2","Looting"
"84",8058,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"25",25,"1.5","1","Looting"
"85",8059,"Survey","Burial Mound","Pasture","Pasture",2010-11-17,"30",30,"1.5","1","Looting"
"86",8060,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-17,"40",40,"1.5","5","Looting"
"87",9013,"Survey","Burial Mound","Pasture","Pasture",2010-10-23,"24",23,"2","2","Looting"
"88",9014,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-10-23,"13",23,"2","5","Looting"
"89",9015,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"50",30,"0.5","5","Agriculture"
"90",9016,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",20,"0.3","5","Agriculture"
"91",9017,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"40",50,"1.8","5","road"
"92",9018,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"35",35,"1.5","5","Looting"
"93",9019,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"20",15,"1","5","Looting"
"94",9020,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-10-23,"50",60,"1.5","5","Agriculture"
"95",9021,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"25",25,"1.5","5","Agriculture"
"96",9022,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"30",30,"1.5","3","Looting"
"97",9023,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",30,"2","5","Agriculture"
