"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","geometry"
"28",8050,"RS:FNEG","Burial Mound","Annual agriculture","Scrub",2009-11-24,"40",20,"0.7","4?","Agriculture",0,"MND: could not visit, saw from road",477782.2848,4683186.1415,c(477782.2848, 4683186.1415)
"29",6000,"survey","Burial Mound","Annual agriculture","Scrub",2009-10-12,"30",25,"2.5","1","Post-depositional",0,"Mound",468865.2505,4681853.4651,c(468865.2505, 4681853.4651)
"30",6001,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-12,"15",8,"0.5","1","Agriculture",0,"Mound",468928.8106,4681951.3902,c(468928.8106, 4681951.3902)
"31",6002,"survey","Burial Mound","Scrub","Scrub",2009-10-12,"48",45,"3.5","2","Post-depositional",200587,"recorded in 2009",468933.3723,4681997.9199,c(468933.3723, 4681997.9199)
"32",6003,"survey","Burial Mound","Scrub","Scrub",2009-10-13,"63",49,"6","1","Post-depositional",200621,"registed in 2009, topo point adjusted",469291.4426,4682195.9834,c(469291.4426, 4682195.9834)
"33",6004,"survey","Burial Mound","Forest","Forest",2009-10-13,"12",11,"0.5","5","Looting",0,"Mound",468027.5562,4681490.9333,c(468027.5562, 4681490.9333)
"34",6005,"survey","Burial Mound","Forest","Forest",2009-10-13,"35",25,"2","3","Looting",200588,"recorded in 2009",468107.032,4681540.9442,c(468107.032, 4681540.9442)
"35",6006,"survey","Burial Mound","Forest","Forest",2009-10-13,"45",33,"1.5","2","Looting",200589,"Recorded in 2009",468065.6919,4681481.5178,c(468065.6919, 4681481.5178)
"36",6009,"survey","Burial Mound","Scrub","Scrub",2009-10-20,"22",16,"1.5","3","Post-depositional | Looting",200618,"recorded in 2009",469902.7417,4681058.2988,c(469902.7417, 4681058.2988)
"37",6010,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-26,"13",12,"0.5","5","Agriculture",200593,NA,466980.5754,4679604.9978,c(466980.5754, 4679604.9978)
"38",6011,"survey","Burial Mound","Annual agriculture","Other",2009-10-27,"56",44,"1","5","Excavation",0,"Mound",468124.9271,4679138.5011,c(468124.9271, 4679138.5011)
"39",6012,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-10-27,"28",25,"0.5","5","Agriculture",200594,"recorded in 2009",468479.0927,4679869.2547,c(468479.0927, 4679869.2547)
"40",6013,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-28,"8",6,"1","1","Agriculture",0,"Mound",467720.3545,4677892.0964,c(467720.3545, 4677892.0964)
"41",6015,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"65",55,"2","4","Agriculture",200659,"recorded in 2009",475566.3327,4683141.7096,c(475566.3327, 4683141.7096)
"42",6016,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"57",42,"1.5","4","Agriculture",200656,"recorded in 2009",475729.1093,4683476.3059,c(475729.1093, 4683476.3059)
