TRAP,Area,Source,Type,TypeCertainty,LanduseAround,LanduseOnTop,Date,DiameterMax_m,HeightMax_m,Condition,PrincipalSourceOfImpact,TopoID,TopoNote,AllNotes,DistTown_m,DistTownBoundary_m,AsterElev_m,AsterSlope_degrees,AsterAspect,AsterTRI,AsterTPI,AsterRoughness,Prominence250m_percent,DistBG_m,AKB,AKBNotes,SpatialDuplicate,PairedID,Upto2010,Post2010,Easting,Northing
9431,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-10,20,2,5,Looting,200029,NA,one big trench  10x10,1006.1010055100946,1006.1010055100946,151.60877990722656,2.5372616421953977,315.75270156734905,1.9227981567382813,1.5930633544921875,4.6344757080078125,44.96,64932.45335341282,10001377,Excavated by Ilia Iliev,Unique,NA,Yes,Yes,4711124.5897,455348.2589999996
9430,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-10,10,NA,5,Looting,200080,NA,"one  big trench 9x6, totally destroyed, check excavation report",966.9691144379135,966.9691144379135,155.39451599121094,2.7395800980150327,338.5600961386923,1.2879924774169922,0.9657688140869141,4.2357025146484375,4.3,64845.70347307071,10001376,Excavated by Ilia Iliev,Unique,NA,Yes,Yes,4711056.8619,455447.00540000014
9427,Kabile,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-08,23,NA,5,Agriculture,200084,NA,ploughed over,447.50474092193247,447.50474092193247,149,2.053632815406577,140.39251727565983,0.9226284027099609,0.5378284454345703,2.3984375,56.47,63600.1492927837,NA,NA,Unique,NA,Yes,Yes,4710154.286599999,457299.0553000001
9428,Kabile,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-08,NA,NA,5,Agriculture,200085,Highway,ploughed over,449.0629323267991,449.0629323267991,147.40696716308594,4.011858422475358,107.6027341996277,1.695535659790039,-0.8642139434814453,4.8309478759765625,28.93,63549.11184545075,10010169,Excvated by Ivailo Lozanov,Unique,NA,Yes,Yes,4710086.421,457213.1635999996
9325,Kabile,Legacy verification,Extinct Burial Mound,Certain,Pasture,Pasture,2010-11-08,10,0.5,5,Looting,200089,NA,"absolutelly diged out, nearby landfill",339.1857836308254,339.1857836308254,132.2337646484375,0.5944342945031302,26.558904203909947,0.4231834411621094,0.3398551940917969,1.463409423828125,28.67,63230.76884999773,10004312,Excavated R. Mikov (LiDL),Unique,NA,Yes,Yes,4709902.010199999,457983.10500000045
9326,Kabile,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-08,25,3,1,Looting,200090,NA,NA,636.8854321161476,636.8854321161476,132.05447387695313,2.2446634120325166,18.4824041946596,0.96230316162109375,0.12506484985351563,3.4205169677734375,30.47,63175.950291214096,10001448,NA,Unique,NA,Yes,Yes,4709905.265900001,458325.4570000004
9426,Kabile,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,40,0.7,5,Agriculture,200091,NA,agriculture destroyed,56.99445163780222,56.99445163780222,153.92369079589844,5.2308004595933655,5.016437382129219,2.185159683227539,0.3160839080810547,5.95751953125,26.52,61971.993981223495,10001454,NA,Unique,NA,Yes,Yes,4708575.6075,457716.52610000037
9424,Kabile,Survey,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,10,NA,5,Nodata,200092,NA,"totally ploughted, just lighter spot on a field",64.37958175641577,64.37958175641577,157.37525939941406,3.2456672449825583,277.5363774111681,1.0331497192382813,0.2809410095214844,3.8351898193359375,26.88,61846.530644834456,10001452,NA,Unique,NA,Yes,Yes,4708448.1471,457717.0105999997
9425,Kabile,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,20,0.5,5,Agriculture,200093,NA,"totally ploughted, just lighter spot on a field; Bara:soil mark on the top",128.76629497643378,128.76629497643378,158.00360107421875,0.8860752901444637,189.1799007028997,0.5880832672119141,0.1716442108154297,3.279632568359375,19.42,61838.00100340653,10001453,NA,Unique,NA,Yes,Yes,4708451.2914,457781.6623999998
9323,Kabile,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,40,0.4,5,Agriculture,200094,NA,ploughed over; Bara:ploughed over,66.56649387677194,66.56649387677194,161.0612030029297,1.2505543150816045,203.21566287270346,0.7083072662353516,0.28285789489746094,2.14007568359375,46.79,61606.03964374147,10001445,NA,Unique,NA,Yes,Yes,4708198.866800001,457691.1375000002
