TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
9057,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,15,,0.5,5,Agriculture
9058,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,28,,0.5,5,Agriculture
9059,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,35,,0.5,5,Agriculture
9060,Survey,Burial Mound,Annual agriculture,Pasture,NA,30,,4,4,Looting
9061,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,40,,1,5,road
9062,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,35,,1,5,Agriculture
9063,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,40,,1,5,Agriculture
9064,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,60,,6,5,Looting
9065,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,2,5,road
9066,Survey,Burial Mound,Annual agriculture,Pasture,NA,40,,3,5,Looting
9067,Legacy verification,Burial Mound,Pasture,Pasture,NA,22,,1.7,2,Construction
9068,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,0.5,5,Agriculture
9069,Legacy verification,Burial Mound,Pasture,Scrub,NA,30,,2,4,Looting
9070,Legacy verification,Burial Mound,Scrub,Forest,NA,30,,NA,5,Bioturbation
9072,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,NA,60,,2,5,Agriculture
9073,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,4,4,Looting
9074,Survey,Uncertain Mound,Pasture,Pasture,NA,20,,2,5,Construction
9075,Survey,Uncertain Mound,Pasture,Pasture,NA,20,,2,5,Construction
9076,Legacy verification,Burial Mound,Pasture,Scrub,NA,80,,3,5,Looting
9077,NA,Uncertain Mound,Scrub,Scrub,NA,40,,2.5,5,NA
9078,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,50,,2,5,Agriculture
9079,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,30,,3,4,Looting
9080,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,60,,1.5,5,Agriculture
9081,Survey,Uncertain Mound,Annual agriculture,Scrub,NA,15,,0.5,4,Looting
9082,Legacy verification,Burial Mound,Pasture,Pasture,NA,30,,1.5,3,Construction
9083,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,50,,2,5,Agriculture
9084,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,35,,0.5,5,Agriculture
9085,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,50,,0.4,5,Agriculture
9086,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,15,,2,5,Agriculture
9087,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1,5,Agriculture
9088,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,38,,4.5,1,Looting
9089,NA,Burial Mound,Pasture,Pasture,NA,15,,1,1,NA
9090,NA,Burial Mound,Pasture,Pasture,NA,10,,0.5,3,NA
9091,NA,Burial Mound,Pasture,Pasture,NA,20,,1.5,4,NA
9092,NA,Burial Mound,Pasture,Pasture,NA,35,,2,3,NA
9093,NA,Burial Mound,Pasture,Pasture,NA,20,,1.5,4,NA
