TopoID,TopoNote,TRAP,Source,Type,LanduseAround,LanduseOnTop,Date,DiameterMax_m,HeightMax_m,Condition,PrincipalSourceOfImpact,AllNotes,DistTown_m,DistTownBoundary_m,ElevAster_m,SlopeAster_degrees,AspectAster,TRI,TPI,Roughness,Prominence_at250m,TypeCertainty,DistBG_m,AKB,AKBArea,AKBNotes,X,Y,,
200116,NA,9402,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-06,35,1.5,5,Agriculture,ploughed over,2085.50295541006,2085.50295541006,149.568466186523,1.53488617018368,295.789899879911,0.511714935302734,-0.111183166503906,2.02049255371094,89.89,Certain,57488.8441181003,10001218,Galabintsi,NA,4698189.6861,441532.5891,,
200117,NA,9401,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-06,30,1,5,Agriculture,ploughed over,1644.10428719736,1644.10428719736,148.437850952148,0.915141748012873,320.264881769962,0.413541793823242,0.12812614440918,1.01300048828125,75.18,Certain,58393.1749786764,10001217,Galabintsi,NA,4698799.4916,440761.6189,,
200118,NA,9110,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-27,60,6,4,Looting,lot of holes done by animals, Bara:looting in the last decade,691.802139224071,691.802139224071,156,2.52436473004081,80.1311887726049,0.844049453735352,-0.571783065795898,2.67720031738281,22.94,Certain,58199.0788969941,10001212,Galabintsi,NA,4698117.5053,439942.4164,
200119,NA,9404,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-06,20,1.5,4,Looting,modern structure - tap surrounded by lozenge, Bara:some strange concrete structure on the top,2525.91227554487,2525.91227554487,146.991561889648,0.77628057494351,25.7740695601171,0.256824493408203,0.248172760009766,1.00025939941406,37.63,Certain,56237.832964589,10001220,Galabintsi,NA,4697076.9599,442104.8992,
200120,NA,9407,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-06,35,2,5,Construction,"moder constructure - square, pedoturbace; Bara:possibly used for military activities",928.295054545666,928.295054545666,154,0.257175344457798,90.9960584054352,0.124456405639648,0.124456405639648,0.592376708984375,82.31,Certain,54569.3100247923,10001273,Boyadzhik,NA,4695457.6081,442620.1702,,
200121,NA,9406,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-06,50,1.5,5,Agriculture,"destroyed by agriculture, 2 waves - but one mound; Bara:ploughed over",1357.80053310685,1357.80053310685,153.958312988281,1.33045811614925,350.847594899767,0.521766662597656,-0.101268768310547,1.99702453613281,60.29,Certain,55190.0886242673,10001272,Boyadzhik,NA,4695904.1009,442144.1582,,
200122,karayvagova mogyla,9078,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,2,5,Agriculture,"destroyed by agriculture, 2 thracian shards, 1 point of scatter of thracian pottery western from the mound; Bara:entirely ploughed over",1082.03023630486,1082.03023630486,160,0.499863531968537,339.053195706302,0.191852569580078,0.0551681518554688,0.997024536132813,36.82,Certain,54437.3993946321,10001266,Boyadzhik,NA,4694176.2629,440662.7273,,
200127,NA,9082,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-26,30,1.5,3,Construction,in the middle monument of Soviet army, Bara:in the middle monument of Soviet army,66.1666285947814,66.1666285947814,183.587005615234,0.94568949473885,20.9345584714752,0.40510368347168,0.172788619995117,1.1146240234375,77.06,Certain,52222.4550061924,10001270,Boyadzhik,NA,4692894.2319,442848.2072,
200129,NA,9339,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-11,20,1.5,2,Looting,"STILL UNCERTAIN!This point was 9239 a duplicate with 9239 in 200373. Turned out to be a typo of 9339 , and changed thus. 200129 added to record",746.706253278602,746.706253278602,228.998748779297,4.46787401523932,216.809429633486,1.68509292602539,0.0625686645507813,6.00723266601563,61.65,Certain,51515.8782924354,10010049,Mezhda,NA,4689523.7074,438907.8976,,
200130,NA,9072,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,2010-10-26,60,2,5,Agriculture,vineyard, Bara:in an old vineyard - could there still be something?,983.180835142433,983.180835142433,216.286026000977,3.09805485999083,206.026392494299,1.27822875976563,0.150890350341797,4.45170593261719,89.57,Certain,51856.2784344606,10001341,Mezhda,NA,4689613.5605,438449.9585,
200131,NA,9341,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-11,40,4,4,Looting,soil mixed up,831.79493824006,831.79493824006,254.986907958984,1.04832493601648,183.598900791176,0.560419082641602,0.554098129272461,1.45999145507813,61.29,Certain,50200.2859354376,10001354,Mezhda,NA,4689097.2238,440595.1842,,
200135,NA,9340,Legacy verification,Burial Mound,Forest,Scrub,2010-11-11,20,1,5,Bioturbation (forest),"all the soil mixed up, without any special shape, pile of soil in the E part",677.917742488654,677.917742488654,229.826675415039,2.67836472907115,177.440523486443,1.06673812866211,-0.187374114990234,3.00685119628906,44.6,Certain,50261.3426492596,10001353,Mezhda,NA,4688732.996,439961.7278,,
200136,NA,9073,Legacy verification,Burial Mound,Pasture,Scrub,2010-10-26,40,4,4,Looting,on the top of the hill,135.376132170948,135.376132170948,216.786636352539,2.4253150480094,211.452028408403,0.975929260253906,-0.0698966979980469,3.36314392089844,88,Certain,51008.4636894905,10001342,Mezhda,NA,4688872.4535,438872.2045,,
200137,NA,9076,Legacy verification,Burial Mound,Pasture,Scrub,2010-10-26,80,3,5,Looting,"on the top of the hill, land around was upside down, destroyed by the robbers; Bara:three deep RTs reaching 2 meters",274.170297125982,274.170297125982,211.837799072266,3.74227234279463,277.211722334207,1.21912574768066,0.0361652374267578,3.14178466796875,97.11,Certain,51128.6853389741,10001343,Mezhda,NA,4688908.8267,438717.9667,,
200142,NA,9044,Legacy verification,Burial Mound,Scrub,Pasture,2010-10-24,50,6,5,Looting,"thracian mound according to filling, inside stones, looks like grave; Bara:large structure inside, burial chamber opened and looted",1191.37572729421,1191.37572729421,284.556274414063,3.13438995346006,297.777338747823,1.21084976196289,0.406780242919922,3.95242309570313,35.04,Certain,47141.2017534965,10001403,Botevo,NA,4688621.2911,445612.3567,,
200143,NA,9043,Legacy verification,Burial Mound,Scrub,Scrub,2010-10-24,30,1.5,5,Looting,top of the hill in dense forest, Bara:a large RT on the top,1115.0325298539,1115.0325298539,282.478729248047,8.11969639028945,169.706429701379,3.40779876708984,0.878471374511719,9.8026123046875,53.43,Certain,46977.7696354702,10000925,Botevo,NA,4688495.3996,445721.6937,
200145,NA,9023,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-10-23,30,2,5,Agriculture,entirely ploughed over,1064.76462297845,1064.76462297845,197.494384765625,2.23515556907991,99.6948648095305,0.69294548034668,0.173871994018555,2.17185974121094,16.49,Certain,45636.6395022945,10000919,Botevo,NA,4687614.3224,446895.2355,,
200147,NA,9037,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-24,32,2.5,1,None,"stones, 37 x 20; Bara:big stones on the top",491.394152111225,491.394152111225,203.941268920898,1.49411448084196,147.41227514471,0.577079772949219,-0.174053192138672,1.99760437011719,50.9,Certain,45898.8755246292,10000921,Botevo,NA,4688366.847,447748.4051,,
200148,NA,9040,Survey,Burial Mound,Annual agriculture,Pasture,2010-10-24,30,2.2,1,Agriculture,"stones, 35 x 30; Bara:dirt road leads right next to the mound, fence at the bottom",633.038022468979,633.038022468979,202,0.314290538467914,177.601693059942,0.169071197509766,0.169071197509766,0.613632202148438,2.15,Uncertain,45754.851395206,10000924,Botevo,NA,4688287.3297,447908.2471,,
200149,NA,9349,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-12,40,2.5,2,Looting,"stones on the top, probably from the trench; Bara:kota taken away by looting",2687.7275151173,2687.7275151173,178.810363769531,4.17107036827453,253.460706015811,1.36511421203613,0.413980484008789,4.61170959472656,85.87,Certain,44172.1369932564,10001399,Botevo,NA,4687620.7378,450139.4857,,
200150,NA,9346,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-12,40,2,3,Agriculture,small fragments of pottery around, Bara:soil mark on the top,2580.46700540484,2580.46700540484,125.930313110352,1.58047091886213,62.1153910205562,0.496731758117676,-0.0979452133178711,2.31937408447266,96.06,Certain,44593.307182015,10001409,Botevo,NA,4688313.3684,450640.4538,
200151,NA,9344,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-12,30,1.5,2,Looting,NA,1956.57627281697,1956.57627281697,136.645935058594,3.36798113359819,111.807338979904,1.14324760437012,0.261556625366211,3.67056274414063,92.47,Certain,45463.3557633329,10001407,Botevo,NA,4689141.6257,450361.4002,,
200152,NA,9342,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-12,40,1.7,4,Agriculture,"medieval pottery around but doesn't seem to be from the mound (CW,…); Bara:ploughed over at some point, in the steep slope",1776.08724036171,1776.08724036171,146.849411010742,3.88079861499035,63.9973326290375,1.37683868408203,0.634487152099609,4.70767211914063,73.38,Certain,45613.2747830213,10001405,Botevo,NA,4689234.8043,450202.4913,,
200154,NA,9019,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-23,20,1,5,Looting,probably robbed and again covered with soil, Bara:probably dug out and soil put back again,587.395417464622,587.395417464622,176.100433349609,2.13090665037978,33.2742845710465,0.835536956787109,0.289993286132813,2.70719909667969,34.17,Certain,48587.9205398448,10000914,Botevo,NA,4690868.9712,446733.7361,
200155,NA,9018,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-23,35,1.5,5,Looting,trench with stones - Roman?, Bara:trench with five large stones,439.047376074719,439.047376074719,174,1.19230058398184,88.0320910016139,0.352025985717773,-0.0418682098388672,1.02125549316406,88,Certain,48395.1499252778,10000913,Botevo,NA,4690750.6461,446925.9897,
200156,NA,9020,Legacy verification,Extinct Burial Mound,Pasture,Pasture,2010-10-23,50,1.5,5,Agriculture,"destroyed by agriculture, hard to distinguish measures; Bara:entirely ploughed over",573.227421301465,573.227421301465,170.434814453125,2.01313051581169,9.68046349432352,0.849800109863281,-0.0994873046875,2.55776977539063,59.78,Certain,48490.7320137747,10000915,Botevo,NA,4690894.7443,446998.8455,,
200157,NA,9016,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-23,30,0.3,5,Agriculture,destroyed by agriculture, Bara:entirely ploughed over,646.582223226169,646.582223226169,154.389984130859,1.95890061348803,95.8667400410962,0.615230560302734,0.0067291259765625,2.03117370605469,77.7,Certain,48271.5707498345,10000911,Botevo,NA,4691140.7855,447994.7257,
200158,NA,9015,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-23,50,0.5,5,Agriculture,"destroyed by agriculture, Yavor - originally was diam 30, h.1.5 m; Bara:entirely ploughed over",778.431966505837,778.431966505837,157,0.887837548842656,24.63201443167,0.340402603149414,0.136774063110352,1.35023498535156,78.99,Certain,48425.2520745595,10000910,Botevo,NA,4691237.176,447840.538,,
200159,NA,9017,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-23,40,1.8,5,road,dirt road cut the mound in the middle, Bara:dirt road leads over the mound,712.053670369928,712.053670369928,164,0.765578962063987,64.7052402308421,0.338808059692383,0.338808059692383,0.872573852539063,63.31,Certain,48343.8701018448,10000912,Botevo,NA,4691051.4959,447644.3254,
200160,NA,9355,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-12,30,1,4,Agriculture,0, Bara:geodetic point on top,980.255944717519,980.255944717519,149,0.948332884244755,64.6603113002246,0.313972473144531,-0.105705261230469,1.52732849121094,94.29,Certain,48686.7412124001,10001228,Roza,NA,4692524.4266,450064.2518,
200163,NA,9083,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,2,5,Agriculture,iron construction on the top, Bara:entirely ploughed over,952.486260122526,952.486260122526,153,0.601926780951193,41.0445576184203,0.268100738525391,-0.0620536804199219,1.25790405273438,77.98,Certain,53705.8024922919,10000903,Bolyarsko,NA,4696373.4171,446351.8633,
200164,NA,9085,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,0.4,5,Agriculture,destroyed by agriculture, Bara:entirely ploughed over,449.37558497823,449.37558497823,150.97883605957,2.65022254777981,70.8135505831635,0.870378494262695,0.364526748657227,2.96870422363281,34.31,Certain,54667.1554576892,10000904,Bolyarsko,NA,4697164.9423,445773.656,
200167,NA,9087,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,30,1,5,Agriculture,shrubs on it, Bara:entirely ploughed over,398.119916033757,398.119916033757,146.181076049805,1.78107983232319,120.427819674559,0.584049224853516,-0.4482421875,2.23716735839844,36.1,Certain,53845.634598523,10000906,Bolyarsko,NA,4697571.4778,448774.6149,
